,index,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,College SOS,DARKO,LEBRON,sos,Seasons,Wins Added,WA / Season,Career LEBRON,Career O-LEBRON,Career D-LEBRON
304,400,41,41,MEM,Jamaal Franklin,San Diego State,2,24,174,42,25,9,0.415,0.462,1,7.3,1.8,1,0.4,0,-0.006,-5.9,-0.2,,,,5.45,2,0.119491502,0.059745751,-1.275317549,-1.151336661,-0.123980888
305,401,42,42,PHI,Pierre Jackson,Baylor,1,8,84,35,9,19,0.333,0.273,0.857,10.5,4.4,1.1,2.4,0,0.021,-4.4,-0.1,,,,7.58,1,0.161299584,0.161299584,0.548187338,0.372366164,0.175821174
306,403,44,44,DAL,Mike Muscala,Bucknell,8,389,6102,2322,1242,356,0.458,0.368,0.847,15.7,6,3.2,0.9,14.5,0.114,-0.3,2.7,,,,-3.94,8,7.142150298,0.892768787,-0.551447777,-0.767703719,0.216255941
307,405,46,46,UTA,Erick Green,Virginia Tech,2,52,452,159,37,42,0.377,0.288,0.857,8.7,3.1,0.7,0.8,0.1,0.011,-4,-0.2,,,,5.97,2,-0.055567068,-0.027783534,-2.494417464,-0.662759033,-1.831658431
308,407,48,48,LAL,Ryan Kelly,Duke,4,163,3125,981,504,215,0.378,0.316,0.797,19.2,6,3.1,1.3,3,0.046,-2.6,-0.5,,,,8.87,4,3.287773003,0.821943251,-0.727094946,-0.739235267,0.012140321
309,408,49,49,CHI,Erik Murphy,Florida,1,24,62,6,8,2,0.231,0,,2.6,0.3,0.3,0.1,-0.1,-0.055,-8.6,-0.1,,,,7.22,1,0.037557802,0.037557802,-1.394122893,-0.899367525,-0.494755368
310,411,52,52,MIN,Lorenzo Brown,NC State,5,103,1185,293,151,183,0.364,0.17,0.707,11.5,2.8,1.5,1.8,-0.2,-0.007,-3.5,-0.5,,,,6.92,5,1.199140343,0.239828069,-0.785887459,-0.719921008,-0.065966451
311,415,56,56,DET,Peyton Siva,Louisville,1,24,224,54,14,34,0.316,0.28,0.733,9.3,2.3,0.6,1.4,-0.2,-0.032,-6.4,-0.2,,,,8.58,1,0.130882828,0.130882828,-1.425350563,-0.931938607,-0.493411956
312,420,1,1,NOH,Anthony Davis,Kentucky,9,564,19401,13463,5769,1292,0.514,0.312,0.799,34.4,23.9,10.2,2.3,86.8,0.215,6.2,40,,,,7.93,9,83.81313604,9.312570671,4.260151428,2.297945628,1.9622058
313,421,2,2,CHA,Michael Kidd-Gilchrist,Kentucky,8,446,10978,3750,2420,515,0.474,0.272,0.715,24.6,8.4,5.4,1.2,21,0.092,-1.8,0.6,,,,7.93,8,21.3084278,2.663553475,0.59554824,-1.046467026,1.642015266
