,index,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%_x,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,College SOS,DARKO,LEBRON,sos,nba_id,Team,DPM,O-DPM,D-DPM,Box DPM,Box O-DPM,Box D-DPM,FGA/100,FG2%,FG3A/100,FG3%,FG3ARate%,FTA/100,FT%_y,FTARate%,Usg%,Reb/100,Ast/100,Ast%,Blk/100,Blk%,Tov/100
131,180,1,1,PHI,Markelle Fultz,Washington,4,113,2891,1228,376,524,0.447,0.265,0.695,25.6,10.9,3.3,4.6,3.1,0.052,-2.2,-0.2,,,,6.82,1628365,Orlando Magic,-1.52,-0.98,-0.55,-1.67,-0.94,-0.73,21.665,0.476,4.712,0.27,0.22,4.867,0.76,0.231,0.25,6.084,8.758,0.285,0.517,0.006,3.54
132,181,2,2,LAL,Lonzo Ball,UCLA,4,217,6975,2540,1257,1385,0.397,0.353,0.56,32.1,11.7,5.8,6.4,9.2,0.063,0.8,4.8,,,,6.39,1628366,New Orleans Pelicans,0.05,0.09,-0.05,0.49,0.01,0.48,21.358,0.464,13.332,0.354,0.635,2.819,0.702,0.115,0.239,8.054,8.709,0.261,0.898,0.01,3.663
133,182,3,3,BOS,Jayson Tatum,Duke,4,289,9453,5594,1811,772,0.458,0.396,0.84,32.7,19.4,6.3,2.7,25.5,0.129,2.1,9.8,,,,10.91,1628369,Boston Celtics,3,3.21,-0.21,2.21,2.85,-0.64,28.765,0.514,10.481,0.373,0.373,10.134,0.843,0.362,0.314,10.065,5.884,0.204,1.069,0.012,3.556
134,183,4,4,PHO,Josh Jackson,Kansas,4,240,5888,2948,1018,480,0.418,0.298,0.676,24.5,12.3,4.2,2,-1.7,-0.014,-3.8,-2.7,,,,,1628367,Detroit Pistons,-0.67,-1.36,0.68,-1.06,-1.12,0.06,21.227,0.472,7.626,0.333,0.374,6.643,0.771,0.317,0.247,7.779,5.092,0.167,1.375,0.015,3.991
135,184,5,5,SAC,De'Aaron Fox,Kentucky,4,263,8242,4781,907,1675,0.458,0.326,0.718,31.3,18.2,3.4,6.4,13.2,0.077,0.1,4.5,,,,10.49,1628368,Sacramento Kings,0.94,2.37,-1.44,2.02,2.65,-0.63,27.623,0.511,8.126,0.3,0.288,11.101,0.738,0.422,0.341,5.457,8.953,0.33,0.618,0.007,4.734
136,185,6,6,ORL,Jonathan Isaac,Florida State,3,136,3512,1269,741,146,0.435,0.33,0.797,25.8,9.3,5.4,1.1,6.7,0.091,0.2,2,,,,8.87,1628371,Orlando Magic,1.23,-0.22,1.46,1.32,-0.03,1.35,18.034,0.509,5.59,0.309,0.292,4.806,0.768,0.263,0.208,11.615,3,0.095,2.706,0.031,2.27
137,186,7,7,MIN,Lauri Markkanen,Arizona,4,221,6511,3439,1559,273,0.44,0.366,0.845,29.5,15.6,7.1,1.2,11.6,0.086,-0.2,2.8,,,,7.63,1628374,Chicago Bulls,-0.62,-0.29,-0.33,-0.13,0.43,-0.56,19.557,0.54,12.199,0.361,0.602,3.536,0.826,0.205,0.194,9.952,1.773,0.066,0.734,0.008,1.561
138,188,9,9,DAL,Dennis Smith Jr.,NC State,4,179,4514,2111,548,785,0.4,0.316,0.652,25.2,11.8,3.1,4.4,-1,-0.01,-2.4,-0.5,,,,8.09,1628372,Detroit Pistons,-1.58,-1.89,0.3,-0.81,-1.36,0.55,18.749,0.447,7.299,0.309,0.414,3.971,0.63,0.231,0.211,6.927,8.362,0.284,1.1,0.013,3.75
139,189,10,10,SAC,Zach Collins,Gonzaga,3,154,2691,881,614,139,0.444,0.324,0.722,17.5,5.7,4,0.9,3.9,0.069,-2.6,-0.4,,,,4.13,1628380,Portland Trail Blazers,-1.21,-1.32,0.11,-1.32,-1.67,0.35,16.098,0.526,5.181,0.297,0.312,3.774,0.719,0.228,0.173,12.381,2.664,0.088,1.639,0.02,2.588
140,190,11,11,CHO,Malik Monk,Kentucky,4,233,4159,2128,461,409,0.403,0.339,0.843,17.8,9.1,2,1.8,2,0.023,-2.7,-0.7,,,,10.49,1628370,Charlotte Hornets,-0.79,0.5,-1.29,-0.54,1.06,-1.6,21.75,0.499,12.074,0.35,0.548,4.093,0.816,0.217,0.225,5.625,4.816,0.16,0.432,0.005,2.814
